date,high_temp,low_temp,average_temp
1/1/1950,40,34,37
1/2/1950,47,30,38
1/3/1950,43,24,34
1/4/1950,44,23,34
1/5/1950,46,20,33
1/6/1950,48,24,36
1/7/1950,49,25,37
1/8/1950,50,31,40
1/9/1950,49,30,40
1/10/1950,47,36,42
1/11/1950,50,35,42
1/12/1950,42,30,36
1/13/1950,43,29,36
1/14/1950,48,30,39
1/15/1950,42,27,34
1/16/1950,49,34,42
1/17/1950,58,49,54
1/18/1950,62,49,56
1/19/1950,66,52,59
1/20/1950,61,47,54
1/21/1950,65,52,58
1/22/1950,63,49,56
1/23/1950,58,39,48
1/24/1950,51,32,42
1/25/1950,45,27,36
1/26/1950,48,26,37
1/27/1950,47,36,42
1/28/1950,47,37,42
1/29/1950,49,32,40
1/30/1950,52,28,40
1/31/1950,46,29,38
2/1/1950,48,27,38
2/2/1950,50,25,38
2/3/1950,43,32,38
2/4/1950,54,38,46
2/5/1950,61,51,56
2/6/1950,57,41,49
2/7/1950,57,35,46
2/8/1950,55,34,44
2/9/1950,53,33,43
2/10/1950,54,43,48
2/11/1950,57,37,47
2/12/1950,60,35,48
2/13/1950,60,37,48
2/14/1950,65,37,51
2/15/1950,67,42,54
2/16/1950,62,46,54
2/17/1950,65,43,54
2/18/1950,67,40,54
2/19/1950,65,39,52
2/20/1950,63,37,50
2/21/1950,66,39,52
2/22/1950,66,38,52
2/23/1950,69,38,54
2/24/1950,72,47,60
2/25/1950,69,44,56
2/26/1950,72,44,58
2/27/1950,66,44,55
2/28/1950,69,40,54
3/1/1950,70,42,56
3/2/1950,64,44,54
3/3/1950,68,39,54
3/4/1950,70,43,56
3/5/1950,61,38,50
3/6/1950,61,33,47
3/7/1950,60,35,48
3/8/1950,64,41,52
3/9/1950,57,39,48
3/10/1950,61,32,46
3/11/1950,56,37,46
3/12/1950,64,31,48
3/13/1950,66,34,50
3/14/1950,65,40,52
3/15/1950,62,40,51
3/16/1950,63,39,51
3/17/1950,66,45,56
3/18/1950,58,40,49
3/19/1950,64,47,56
3/20/1950,64,42,53
3/21/1950,67,45,56
3/22/1950,66,41,54
3/23/1950,56,37,46
3/24/1950,58,40,49
3/25/1950,58,33,46
3/26/1950,56,43,50
3/27/1950,63,40,52
3/28/1950,66,39,52
3/29/1950,68,38,53
3/30/1950,80,48,64
3/31/1950,79,46,62
4/1/1950,82,46,64
4/2/1950,80,48,64
4/3/1950,74,48,61
4/4/1950,74,44,59
4/5/1950,67,49,58
4/6/1950,64,48,56
4/7/1950,61,43,52
4/8/1950,57,44,50
4/9/1950,61,43,52
4/10/1950,68,41,54
4/11/1950,71,39,55
4/12/1950,71,41,56
4/13/1950,67,41,54
4/14/1950,68,40,54
4/15/1950,78,44,61
4/16/1950,81,47,64
4/17/1950,84,50,67
4/18/1950,85,52,68
4/19/1950,89,50,70
4/20/1950,90,53,72
4/21/1950,87,52,70
4/22/1950,77,47,62
4/23/1950,76,44,60
4/24/1950,80,46,63
4/25/1950,83,46,64
4/26/1950,84,48,66
4/27/1950,79,46,62
4/28/1950,74,44,59
4/29/1950,76,46,61
4/30/1950,68,42,55
5/1/1950,60,43,52
5/2/1950,55,38,46
5/3/1950,62,34,48
5/4/1950,70,38,54
5/5/1950,72,40,56
5/6/1950,67,40,54
5/7/1950,71,43,57
5/8/1950,76,40,58
5/9/1950,82,45,64
5/10/1950,86,48,67
5/11/1950,91,54,72
5/12/1950,86,52,69
5/13/1950,75,48,62
5/14/1950,74,48,61
5/15/1950,82,46,64
5/16/1950,78,44,61
5/17/1950,76,45,60
5/18/1950,82,45,64
5/19/1950,89,46,68
5/20/1950,92,51,72
5/21/1950,97,56,76
5/22/1950,82,50,66
5/23/1950,72,52,62
5/24/1950,77,51,64
5/25/1950,86,50,68
5/26/1950,96,64,80
5/27/1950,89,55,72
5/28/1950,92,52,72
5/29/1950,101,67,84
5/30/1950,99,60,80
5/31/1950,96,54,75
6/1/1950,90,55,72
6/2/1950,86,53,70
6/3/1950,87,52,70
6/4/1950,90,52,71
6/5/1950,85,52,68
6/6/1950,73,49,61
6/7/1950,71,41,56
6/8/1950,81,44,62
6/9/1950,80,48,64
6/10/1950,75,53,64
6/11/1950,73,49,61
6/12/1950,82,46,64
6/13/1950,80,50,65
6/14/1950,76,52,64
6/15/1950,79,50,64
6/16/1950,69,52,60
6/17/1950,77,50,64
6/18/1950,88,49,68
6/19/1950,94,53,74
6/20/1950,92,57,74
6/21/1950,84,53,68
6/22/1950,91,53,72
6/23/1950,79,51,65
6/24/1950,79,45,62
6/25/1950,87,48,68
6/26/1950,92,53,72
6/27/1950,98,56,77
6/28/1950,101,59,80
6/29/1950,106,65,86
6/30/1950,109,69,89
7/1/1950,109,66,88
7/2/1950,108,68,88
7/3/1950,100,67,84
7/4/1950,92,61,76
7/5/1950,99,56,78
7/6/1950,96,57,76
7/7/1950,96,59,78
7/8/1950,90,59,74
7/9/1950,89,59,74
7/10/1950,87,61,74
7/11/1950,95,57,76
7/12/1950,95,59,77
7/13/1950,95,57,76
7/14/1950,101,56,78
7/15/1950,104,61,82
7/16/1950,86,58,72
7/17/1950,81,55,68
7/18/1950,82,54,68
7/19/1950,88,53,70
7/20/1950,95,54,74
7/21/1950,96,55,76
7/22/1950,94,54,74
7/23/1950,93,55,74
7/24/1950,95,55,75
7/25/1950,94,55,74
7/26/1950,86,58,72
7/27/1950,84,54,69
7/28/1950,86,55,70
7/29/1950,93,55,74
7/30/1950,100,60,80
7/31/1950,86,57,72
8/1/1950,82,56,69
8/2/1950,83,58,70
8/3/1950,87,55,71
8/4/1950,70,55,62
8/5/1950,85,48,66
8/6/1950,91,53,72
8/7/1950,88,52,70
8/8/1950,83,53,68
8/9/1950,89,50,70
8/10/1950,88,53,70
8/11/1950,92,52,72
8/12/1950,92,55,74
8/13/1950,91,56,74
8/14/1950,93,58,76
8/15/1950,98,58,78
8/16/1950,103,62,82
8/17/1950,104,64,84
8/18/1950,107,63,85
8/19/1950,107,66,86
8/20/1950,105,68,86
8/21/1950,79,55,67
8/22/1950,94,53,74
8/23/1950,94,57,76
8/24/1950,96,61,78
8/25/1950,96,59,78
8/26/1950,98,56,77
8/27/1950,102,60,81
8/28/1950,103,63,83
8/29/1950,100,58,79
8/30/1950,98,58,78
8/31/1950,100,58,79
9/1/1950,108,63,86
9/2/1950,108,67,88
9/3/1950,106,65,86
9/4/1950,107,65,86
9/5/1950,91,55,73
9/6/1950,86,50,68
9/7/1950,81,61,71
9/8/1950,80,60,70
9/9/1950,81,55,68
9/10/1950,82,53,68
9/11/1950,85,55,70
9/12/1950,78,56,67
9/13/1950,76,56,66
9/14/1950,79,51,65
9/15/1950,82,54,68
9/16/1950,76,57,66
9/17/1950,72,57,64
9/18/1950,74,56,65
9/19/1950,81,51,66
9/20/1950,88,53,70
9/21/1950,93,58,76
9/22/1950,91,57,74
9/23/1950,91,54,72
9/24/1950,86,54,70
9/25/1950,83,57,70
9/26/1950,85,55,70
9/27/1950,89,58,74
9/28/1950,90,52,71
9/29/1950,73,47,60
9/30/1950,75,47,61
10/1/1950,75,41,58
10/2/1950,78,43,60
10/3/1950,83,46,64
10/4/1950,80,56,68
10/5/1950,74,54,64
10/6/1950,76,50,63
10/7/1950,84,49,66
10/8/1950,88,56,72
10/9/1950,79,48,64
10/10/1950,86,49,68
10/11/1950,90,56,73
10/12/1950,91,54,72
10/13/1950,93,53,73
10/14/1950,83,56,70
10/15/1950,80,50,65
10/16/1950,69,52,60
10/17/1950,72,52,62
10/18/1950,77,47,62
10/19/1950,80,49,64
10/20/1950,78,53,66
10/21/1950,74,46,60
10/22/1950,78,49,64
10/23/1950,62,57,60
10/24/1950,68,56,62
10/25/1950,68,56,62
10/26/1950,69,52,60
10/27/1950,65,50,58
10/28/1950,67,55,61
10/29/1950,70,48,59
10/30/1950,62,47,54
10/31/1950,61,39,50
11/1/1950,68,52,60
11/2/1950,78,50,64
11/3/1950,76,53,64
11/4/1950,78,53,66
11/5/1950,77,53,65
11/6/1950,74,50,62
11/7/1950,73,46,60
11/8/1950,76,47,62
11/9/1950,71,51,61
11/10/1950,67,42,54
11/11/1950,69,40,54
11/12/1950,62,43,52
11/13/1950,58,44,51
11/14/1950,58,42,50
11/15/1950,60,42,51
11/16/1950,56,46,51
11/17/1950,62,53,58
11/18/1950,63,58,60
11/19/1950,64,52,58
11/20/1950,67,62,64
11/21/1950,67,55,61
11/22/1950,63,44,54
11/23/1950,63,44,54
11/24/1950,67,45,56
11/25/1950,55,48,52
11/26/1950,61,49,55
11/27/1950,59,50,54
11/28/1950,61,45,53
11/29/1950,56,51,54
11/30/1950,63,48,56
12/1/1950,56,38,47
12/2/1950,48,37,42
12/3/1950,58,47,52
12/4/1950,63,49,56
12/5/1950,54,46,50
12/6/1950,54,49,52
12/7/1950,56,53,54
12/8/1950,63,53,58
12/9/1950,67,49,58
12/10/1950,59,48,54
12/11/1950,60,52,56
12/12/1950,61,48,54
12/13/1950,56,45,50
12/14/1950,62,53,58
12/15/1950,67,53,60
12/16/1950,57,48,52
12/17/1950,53,43,48
12/18/1950,51,47,49
12/19/1950,62,49,56
12/20/1950,57,45,51
12/21/1950,52,48,50
12/22/1950,49,46,48
12/23/1950,48,44,46
12/24/1950,46,43,44
12/25/1950,46,42,44
12/26/1950,46,41,44
12/27/1950,44,41,42
12/28/1950,49,41,45
12/29/1950,47,40,44
12/30/1950,52,34,43
12/31/1950,54,38,46
1/1/1951,55,34,44
1/2/1951,51,34,42
1/3/1951,51,44,48
1/4/1951,59,41,50
1/5/1951,56,39,48
1/6/1951,56,35,46
1/7/1951,45,36,40
1/8/1951,52,40,46
1/9/1951,49,41,45
1/10/1951,49,41,45
1/11/1951,56,39,48
1/12/1951,56,36,46
1/13/1951,54,32,43
1/14/1951,54,35,44
1/15/1951,49,37,43
1/16/1951,51,30,40
1/17/1951,53,45,49
1/18/1951,53,39,46
1/19/1951,53,37,45
1/20/1951,51,33,42
1/21/1951,53,43,48
1/22/1951,59,48,54
1/23/1951,51,46,48
1/24/1951,52,47,50
1/25/1951,49,43,46
1/26/1951,48,42,45
1/27/1951,50,47,48
1/28/1951,51,44,48
1/29/1951,46,35,40
1/30/1951,48,31,40
1/31/1951,48,27,38
2/1/1951,0,0,0
2/2/1951,53,36,44
2/3/1951,57,44,50
2/4/1951,0,0,0
2/5/1951,63,50,56
2/6/1951,63,45,54
2/7/1951,66,50,58
2/8/1951,0,0,0
2/9/1951,61,49,55
2/10/1951,59,50,54
2/11/1951,0,0,0
2/12/1951,64,45,54
2/13/1951,64,39,52
2/14/1951,61,44,52
2/15/1951,0,0,0
2/16/1951,65,39,52
2/17/1951,57,39,48
2/18/1951,0,0,0
2/19/1951,59,35,47
2/20/1951,55,40,48
2/21/1951,53,35,44
2/22/1951,0,0,0
2/23/1951,57,35,46
2/24/1951,60,34,47
2/25/1951,57,37,47
2/26/1951,49,37,43
2/27/1951,55,39,47
2/28/1951,48,37,42
3/1/1951,53,37,45
3/2/1951,52,34,43
3/3/1951,51,30,40
3/4/1951,46,40,43
3/5/1951,54,44,49
3/6/1951,54,44,49
3/7/1951,60,43,52
3/8/1951,59,38,48
3/9/1951,57,38,48
3/10/1951,58,34,46
3/11/1951,65,35,50
3/12/1951,70,38,54
3/13/1951,77,40,58
3/14/1951,75,41,58
3/15/1951,73,46,60
3/16/1951,68,42,55
3/17/1951,72,43,58
3/18/1951,71,37,54
3/19/1951,73,43,58
3/20/1951,75,47,61
3/21/1951,64,45,54
3/22/1951,71,40,56
3/23/1951,73,42,58
3/24/1951,76,42,59
3/25/1951,75,43,59
3/26/1951,75,43,59
3/27/1951,79,48,64
3/28/1951,76,42,59
3/29/1951,64,46,55
3/30/1951,62,35,48
3/31/1951,66,40,53
4/1/1951,68,37,52
4/2/1951,74,42,58
4/3/1951,67,47,57
4/4/1951,66,45,56
4/5/1951,70,45,58
4/6/1951,66,46,56
4/7/1951,69,46,58
4/8/1951,85,44,64
4/9/1951,85,49,67
4/10/1951,92,54,73
4/11/1951,83,46,64
4/12/1951,83,48,66
4/13/1951,81,47,64
4/14/1951,74,48,61
4/15/1951,67,47,57
4/16/1951,61,47,54
4/17/1951,63,46,54
4/18/1951,72,41,56
4/19/1951,70,48,59
4/20/1951,67,46,56
4/21/1951,73,42,58
4/22/1951,77,44,60
4/23/1951,65,44,54
4/24/1951,58,44,51
4/25/1951,63,47,55
4/26/1951,66,48,57
4/27/1951,71,42,56
4/28/1951,64,44,54
4/29/1951,62,41,52
4/30/1951,68,39,54
5/1/1951,65,44,54
5/2/1951,63,44,54
5/3/1951,59,52,56
