"STATION","NAME","DATE","PRCP","SNOW","TAVG","TMAX","TMIN"
"USW00014739","BOSTON, MA US","2019-01-01","0.38","0.0","47","59","34"
"USW00014739","BOSTON, MA US","2019-01-02","0.00","0.0","33","37","28"
"USW00014739","BOSTON, MA US","2019-01-03","0.02","0.0","38","46","32"
"USW00014739","BOSTON, MA US","2019-01-04","0.00","0.0","40","48","34"
"USW00014739","BOSTON, MA US","2019-01-05","0.53","0.0","41","43","38"
"USW00014739","BOSTON, MA US","2019-01-06","0.00","0.0","40","47","25"
"USW00014739","BOSTON, MA US","2019-01-07","0.00","0.0","26","31","19"
"USW00014739","BOSTON, MA US","2019-01-08","0.02","0.0","34","43","30"
"USW00014739","BOSTON, MA US","2019-01-09","0.13","0.0","40","46","35"
"USW00014739","BOSTON, MA US","2019-01-10","0.00","0.0","36","37","26"
"USW00014739","BOSTON, MA US","2019-01-11","0.00","0.0","27","30","17"
"USW00014739","BOSTON, MA US","2019-01-12","0.00","0.0","20","29","15"
"USW00014739","BOSTON, MA US","2019-01-13","0.00","0.0","22","29","16"
"USW00014739","BOSTON, MA US","2019-01-14","0.00","0.0","26","31","23"
"USW00014739","BOSTON, MA US","2019-01-15","0.00","0.0","30","39","24"
"USW00014739","BOSTON, MA US","2019-01-16","0.00","0.0","32","41","25"
"USW00014739","BOSTON, MA US","2019-01-17","0.00","0.0","27","33","18"
"USW00014739","BOSTON, MA US","2019-01-18","0.00","0.0","32","43","27"
"USW00014739","BOSTON, MA US","2019-01-19","0.13","0.5","33","37","28"
"USW00014739","BOSTON, MA US","2019-01-20","1.20","1.1","30","37","10"
"USW00014739","BOSTON, MA US","2019-01-21","0.00","0.0","9","10","5"
"USW00014739","BOSTON, MA US","2019-01-22","0.00","0.0","14","28","7"
"USW00014739","BOSTON, MA US","2019-01-23","0.00","0.0","29","48","20"
"USW00014739","BOSTON, MA US","2019-01-24","1.00","0.0","52","59","37"
"USW00014739","BOSTON, MA US","2019-01-25","0.00","0.0","39","42","29"
"USW00014739","BOSTON, MA US","2019-01-26","0.00","0.0","30","36","25"
"USW00014739","BOSTON, MA US","2019-01-27","0.00","0.0","35","47","27"
"USW00014739","BOSTON, MA US","2019-01-28","0.00","0.0","34","42","24"
"USW00014739","BOSTON, MA US","2019-01-29","0.05","0.0","28","38","20"
"USW00014739","BOSTON, MA US","2019-01-30","0.16","0.5","33","39","9"
"USW00014739","BOSTON, MA US","2019-01-31","0.00","0.0","12","18","5"
"USW00014739","BOSTON, MA US","2019-02-01","0.00","0.0","16","23","10"
"USW00014739","BOSTON, MA US","2019-02-02","0.00","0.0","22","35","14"
"USW00014739","BOSTON, MA US","2019-02-03","0.00","0.0","34","39","27"
"USW00014739","BOSTON, MA US","2019-02-04","0.00","0.0","45","63","35"
"USW00014739","BOSTON, MA US","2019-02-05","0.00","0.0","51","65","40"
"USW00014739","BOSTON, MA US","2019-02-06","0.37","0.0","40","44","33"
"USW00014739","BOSTON, MA US","2019-02-07","0.21","0.0","38","42","35"
"USW00014739","BOSTON, MA US","2019-02-08","0.07","0.0","43","57","31"
"USW00014739","BOSTON, MA US","2019-02-09","0.00","0.0","31","36","25"
"USW00014739","BOSTON, MA US","2019-02-10","0.00","0.0","30","37","24"
"USW00014739","BOSTON, MA US","2019-02-11","0.00","0.0","32","37","26"
"USW00014739","BOSTON, MA US","2019-02-12","0.91","2.4","26","38","19"
"USW00014739","BOSTON, MA US","2019-02-13","0.28","0.1","38","43","33"
"USW00014739","BOSTON, MA US","2019-02-14","0.00","0.0","35","40","31"
"USW00014739","BOSTON, MA US","2019-02-15","0.10","0.0","40","52","31"
"USW00014739","BOSTON, MA US","2019-02-16","0.00","0.0","43","49","31"
"USW00014739","BOSTON, MA US","2019-02-17","0.00","0.0","30","34","24"
"USW00014739","BOSTON, MA US","2019-02-18","0.31","3.6","30","32","21"
"USW00014739","BOSTON, MA US","2019-02-19","0.00","0.0","25","34","18"
"USW00014739","BOSTON, MA US","2019-02-20","0.10","0.8","26","31","21"
"USW00014739","BOSTON, MA US","2019-02-21","0.42","1.3","34","48","26"
"USW00014739","BOSTON, MA US","2019-02-22","0.00","0.0","42","46","36"
"USW00014739","BOSTON, MA US","2019-02-23","0.00","0.0","35","38","30"
"USW00014739","BOSTON, MA US","2019-02-24","0.48","0.0","39","47","34"
"USW00014739","BOSTON, MA US","2019-02-25","0.00","0.0","39","42","30"
"USW00014739","BOSTON, MA US","2019-02-26","0.00","0.0","29","32","20"
"USW00014739","BOSTON, MA US","2019-02-27","0.05","1.2","20","26","13"
"USW00014739","BOSTON, MA US","2019-02-28","0.15","2.2","24","31","19"
"USW00014739","BOSTON, MA US","2019-03-01","0.00","0.0","29","38","23"
"USW00014739","BOSTON, MA US","2019-03-02","0.18","2.0","33","34","32"
"USW00014739","BOSTON, MA US","2019-03-03","0.09","0.7","35","41","32"
"USW00014739","BOSTON, MA US","2019-03-04","0.97","9.9","36","40","25"
"USW00014739","BOSTON, MA US","2019-03-05","0.00","0.0","26","31","19"
"USW00014739","BOSTON, MA US","2019-03-06","0.00","0.0","24","27","18"
"USW00014739","BOSTON, MA US","2019-03-07","0.00","0.0","21","30","15"
"USW00014739","BOSTON, MA US","2019-03-08","0.00","0.0","27","38","18"
"USW00014739","BOSTON, MA US","2019-03-09","0.00","0.0","34","46","26"
"USW00014739","BOSTON, MA US","2019-03-10","0.46","0.9","35","40","31"
"USW00014739","BOSTON, MA US","2019-03-11","0.00","0.0","43","50","37"
"USW00014739","BOSTON, MA US","2019-03-12","0.00","0.0","40","45","34"
"USW00014739","BOSTON, MA US","2019-03-13","0.00","0.0","36","40","30"
"USW00014739","BOSTON, MA US","2019-03-14","0.00","0.0","41","51","36"
"USW00014739","BOSTON, MA US","2019-03-15","0.20","0.0","52","64","40"
"USW00014739","BOSTON, MA US","2019-03-16","0.00","0.0","50","56","36"
"USW00014739","BOSTON, MA US","2019-03-17","0.00","0.0","38","43","32"
"USW00014739","BOSTON, MA US","2019-03-18","0.00","0.0","36","44","28"
"USW00014739","BOSTON, MA US","2019-03-19","0.00","0.0","39","48","32"
"USW00014739","BOSTON, MA US","2019-03-20","0.00","0.0","40","51","31"
"USW00014739","BOSTON, MA US","2019-03-21","0.00","0.0","43","52","33"
"USW00014739","BOSTON, MA US","2019-03-22","0.88","0.0","41","44","40"
"USW00014739","BOSTON, MA US","2019-03-23","0.04","0.0","41","48","34"
"USW00014739","BOSTON, MA US","2019-03-24","0.00","0.0","44","60","34"
"USW00014739","BOSTON, MA US","2019-03-25","0.00","0.0","47","52","36"
"USW00014739","BOSTON, MA US","2019-03-26","0.00","0.0","37","44","31"
"USW00014739","BOSTON, MA US","2019-03-27","0.00","0.0","36","41","30"
"USW00014739","BOSTON, MA US","2019-03-28","0.01","0.0","41","54","33"
"USW00014739","BOSTON, MA US","2019-03-29","0.03","0.0","49","58","44"
"USW00014739","BOSTON, MA US","2019-03-30","0.00","0.0","51","67","44"
"USW00014739","BOSTON, MA US","2019-03-31","0.09","0.0","58","70","41"
"USW00014739","BOSTON, MA US","2019-04-01","0.00","0.0","42","47","37"
"USW00014739","BOSTON, MA US","2019-04-02","0.05","0.0","42","53","30"
"USW00014739","BOSTON, MA US","2019-04-03","0.40","0.0","47","65","40"
"USW00014739","BOSTON, MA US","2019-04-04","0.00","0.0","46","53","38"
"USW00014739","BOSTON, MA US","2019-04-05","0.13","0.0","40","46","35"
"USW00014739","BOSTON, MA US","2019-04-06","0.09","0.0","47","67","37"
"USW00014739","BOSTON, MA US","2019-04-07","0.00","0.0","55","69","43"
"USW00014739","BOSTON, MA US","2019-04-08","0.31","0.0","47","54","37"
"USW00014739","BOSTON, MA US","2019-04-09","0.06","0.0","38","41","36"
"USW00014739","BOSTON, MA US","2019-04-10","0.01","0.0","42","47","36"
"USW00014739","BOSTON, MA US","2019-04-11","0.00","0.0","42","52","35"
