STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TAVG,TMAX,TMIN,TOBS
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/1/1948,,,,,1.33,4.4,4,,33,28,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/2/1948,,,,,0.01,0.1,4,,30,24,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/3/1948,,,,,0,0,4,,32,26,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/4/1948,,,,,0.16,1.6,5,,34,25,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/5/1948,,,,,0,0,4,,35,27,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/6/1948,,,,,0,0,4,,32,18,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/7/1948,,,,,0,0,4,,39,14,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/8/1948,,,,,0,0,2,,41,25,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/9/1948,,,,,0,0,1,,37,29,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/10/1948,,,,,0,0,1,,32,21,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/11/1948,,,,,0.01,0.1,1,,36,26,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/12/1948,,,,,0,0,1,,36,23,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/13/1948,,,,,0.01,0.3,1,,23,5,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/14/1948,,,,,0,0,1,,11,-1,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/15/1948,,,,,0.14,2.1,3,,36,9,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/16/1948,,,,,0,0,3,,9,-3,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/17/1948,,,,,0,0,2,,4,-10,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/18/1948,,,,,0,0,2,,17,-6,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/19/1948,,,,,0.04,0.9,3,,25,4,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/20/1948,,,,,0,0.1,1,,39,5,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/21/1948,,,,,0.01,0.2,2,,30,2,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/22/1948,,,,,0,0,1,,15,-3,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/23/1948,,,,,0,0,1,,14,-1,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/24/1948,,,,,0,0.1,1,,19,4,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/25/1948,,,,,0,0,1,,25,4,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/26/1948,,,,,0,0,1,,19,4,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/27/1948,,,,,0,0,1,,8,-3,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/28/1948,,,,,0,0,1,,18,-6,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/29/1948,,,,,0,0,1,,25,7,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/30/1948,,,,,0,0,1,,24,11,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",1/31/1948,,,,,0,0,1,,22,11,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/1/1948,,,,,0,0,0,,28,10,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/2/1948,,,,,0,0,0,,30,12,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/3/1948,,,,,0.12,2.2,1,,23,10,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/4/1948,,,,,0.03,0.4,3,,25,21,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/5/1948,,,,,0,0,2,,26,12,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/6/1948,,,,,0,0,2,,26,8,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/7/1948,,,,,0.02,0.2,2,,28,10,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/8/1948,,,,,0,0,2,,15,1,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/9/1948,,,,,0,0,2,,21,-2,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/10/1948,,,,,0,0,2,,24,9,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/11/1948,,,,,0.12,1.3,3,,29,21,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/12/1948,,,,,0,0,3,,27,11,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/13/1948,,,,,0.18,1.3,3,,32,22,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/14/1948,,,,,0,0,4,,29,11,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/15/1948,,,,,0,0,2,,39,5,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/16/1948,,,,,0,0,0,,46,34,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/17/1948,,,,,0,0,0,,53,31,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/18/1948,,,,,0,0,0,,55,32,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/19/1948,,,,,0,0,0,,53,15,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/20/1948,,,,,0,0,0,,23,10,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/21/1948,,,,,0,0,0,,24,13,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/22/1948,,,,,0,0,0,,28,18,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/23/1948,,,,,0,0,0,,47,23,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/24/1948,,,,,0.01,0,0,,43,34,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/25/1948,,,,,0.11,0,0,,42,36,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/26/1948,,,,,0,0,0,,53,33,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/27/1948,,,,,0.79,0,0,,48,35,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/28/1948,,,,,0.23,0,0,,45,30,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",2/29/1948,,,,,0.01,0.2,0,,32,26,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/1/1948,,,,,0.31,4,2,,29,26,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/2/1948,,,,,0.38,3.4,7,,30,27,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/3/1948,,,,,0.03,0.4,7,,28,27,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/4/1948,,,,,0,0,6,,28,18,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/5/1948,,,,,0,0,5,,30,15,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/6/1948,,,,,0.15,0.1,3,,36,27,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/7/1948,,,,,0,0,2,,35,22,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/8/1948,,,,,0,0,2,,31,22,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/9/1948,,,,,0,0,2,,26,14,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/10/1948,,,,,0,0,2,,18,10,
USC00111577,"CHICAGO MIDWAY AIRPORT 3 SW, IL US",3/11/1948,,,,,0.09,2,4,,20,7,
