"STATION","NAME","DATE","DAPR","MDPR","MDSF","PRCP","SNOW","SNWD","TMAX","TMIN","TOBS"
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-01",,,,"1.10","0.0","0.0",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-06",,,,"0.00","0.0","0.5",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-07",,,,"0.01","0.0","0.4",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-08",,,,"0.00","0.0","0.5",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-09",,,,"0.00","0.0","0.0",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-10",,,,"0.00","0.0","0.0",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-12",,,,"0.63","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-13",,,,"0.09","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-14",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-15",,,,"0.03","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-16",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-17",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-18",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-19",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-20",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-21",,,,"0.48","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-22",,,,"0.87","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-23",,,,"0.23","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-24",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-25",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-26",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-27",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-28",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-29",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-30",,,,"0.02","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2006-12-31",,,,"0.27","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-01-03",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-01-04",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-01-06",,,,"0.16","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-01-08",,,,"0.10","0.0","0.0",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-01-09",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-01-10",,,,"0.00","0.0","0.0",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-01-11",,,,"0.00","0.0","0.0",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-01-12",,,,"0.00","0.0","0.0",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-01-13",,,,"0.20","0.0","0.0",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-01-14",,,,"0.28","0.0","0.0",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-01-15",,,,"0.62","0.0","0.0",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-01-16",,,,"0.04","1.0","1.0",,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-03-20",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-03-21",,,,"0.35","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-03-22",,,,"0.40","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-03-23",,,,"0.54","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-03-24",,,,"0.10","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-03-25",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-03-26",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-03-27",,,,"0.00","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-03-28",,,,"0.29","0.0",,,,
"US1ILCK0007","LANSING 1.7 SSE, IL US","2007-03-29",,,,"0.29","0.0",,,,
