"STATION","NAME","DATE","DAPR","DASF","MDPR","MDSF","PRCP","SNOW","SNWD","TAVG","TMAX","TMIN","TOBS"
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-01",,,,,"1.33","4.4","4.0",,"33","28",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-02",,,,,"0.01","0.1","4.0",,"30","24",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-03",,,,,"0.00","0.0","4.0",,"32","26",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-04",,,,,"0.16","1.6","5.0",,"34","25",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-05",,,,,"0.00","0.0","4.0",,"35","27",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-06",,,,,"0.00","0.0","4.0",,"32","18",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-07",,,,,"0.00","0.0","4.0",,"39","14",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-08",,,,,"0.00","0.0","2.0",,"41","25",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-09",,,,,"0.00","0.0","1.0",,"37","29",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-10",,,,,"0.00","0.0","1.0",,"32","21",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-11",,,,,"0.01","0.1","1.0",,"36","26",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-12",,,,,"0.00","0.0","1.0",,"36","23",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-13",,,,,"0.01","0.3","1.0",,"23","5",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-14",,,,,"0.00","0.0","1.0",,"11","-1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-15",,,,,"0.14","2.1","3.0",,"36","9",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-16",,,,,"0.00","0.0","3.0",,"9","-3",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-17",,,,,"0.00","0.0","2.0",,"4","-10",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-18",,,,,"0.00","0.0","2.0",,"17","-6",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-19",,,,,"0.04","0.9","3.0",,"25","4",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-20",,,,,"0.00","0.1","1.0",,"39","5",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-21",,,,,"0.01","0.2","2.0",,"30","2",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-22",,,,,"0.00","0.0","1.0",,"15","-3",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-23",,,,,"0.00","0.0","1.0",,"14","-1",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-24",,,,,"0.00","0.1","1.0",,"19","4",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-25",,,,,"0.00","0.0","1.0",,"25","4",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-26",,,,,"0.00","0.0","1.0",,"19","4",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-27",,,,,"0.00","0.0","1.0",,"8","-3",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-28",,,,,"0.00","0.0","1.0",,"18","-6",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-29",,,,,"0.00","0.0","1.0",,"25","7",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-30",,,,,"0.00","0.0","1.0",,"24","11",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-01-31",,,,,"0.00","0.0","1.0",,"22","11",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-02-01",,,,,"0.00","0.0","0.0",,"28","10",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-02-02",,,,,"0.00","0.0","0.0",,"30","12",
"USC00111577","CHICAGO MIDWAY AIRPORT 3 SW, IL US","1948-02-03",,,,,"0.12","2.2","1.0",,"23","10",
