STATION,NAME,DATE,DAPR,DASF,MDPR,MDSF,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00229159,"VAN VLEET, MS US",5/1/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/2/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/3/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/4/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/5/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/6/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/7/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/8/1943,,,,,0.08,,,,,
USC00229159,"VAN VLEET, MS US",5/9/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/10/1943,,,,,2.21,,,,,
USC00229159,"VAN VLEET, MS US",5/11/1943,,,,,0.33,,,,,
USC00229159,"VAN VLEET, MS US",5/12/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/13/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/14/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/15/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/16/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/17/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/18/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/19/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/20/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/21/1943,,,,,0.37,,,,,
USC00229159,"VAN VLEET, MS US",5/22/1943,,,,,0.21,,,,,
USC00229159,"VAN VLEET, MS US",5/23/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/24/1943,,,,,0.3,,,,,
USC00229159,"VAN VLEET, MS US",5/25/1943,,,,,1.25,,,,,
USC00229159,"VAN VLEET, MS US",5/26/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/27/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/28/1943,,,,,0.05,,,,,
USC00229159,"VAN VLEET, MS US",5/29/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/30/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",5/31/1943,,,,,0.11,,,,,
USC00229159,"VAN VLEET, MS US",6/1/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/2/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/3/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/4/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/5/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/6/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/7/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/8/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/9/1943,,,,,0.08,,,,,
USC00229159,"VAN VLEET, MS US",6/10/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/11/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/12/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/13/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/14/1943,,,,,1.49,,,,,
USC00229159,"VAN VLEET, MS US",6/15/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/16/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/17/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/18/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/19/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/20/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/21/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/22/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/23/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/24/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/25/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/26/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/27/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/28/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",6/29/1943,,,,,0.72,,,,,
USC00229159,"VAN VLEET, MS US",6/30/1943,,,,,0.29,,,,,
USC00229159,"VAN VLEET, MS US",8/1/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/2/1943,,,,,1.3,,,,,
USC00229159,"VAN VLEET, MS US",8/3/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/4/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/5/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/6/1943,,,,,0.27,,,,,
USC00229159,"VAN VLEET, MS US",8/7/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/8/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/9/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/10/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/11/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/12/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/13/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/14/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/15/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/16/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/17/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/18/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/19/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/20/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/21/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/22/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/23/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/24/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/25/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/26/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/27/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/28/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/29/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/30/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",8/31/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/1/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/2/1943,,,,,0.03,,,,,
USC00229159,"VAN VLEET, MS US",9/3/1943,,,,,0.44,,,,,
USC00229159,"VAN VLEET, MS US",9/4/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/5/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/6/1943,,,,,0.85,,,,,
USC00229159,"VAN VLEET, MS US",9/7/1943,,,,,0.03,,,,,
USC00229159,"VAN VLEET, MS US",9/8/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/9/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/10/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/11/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/12/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/13/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/14/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/15/1943,,,,,0,,,,,
USC00229159,"VAN VLEET, MS US",9/16/1943,,,,,0.14,,,,,
USC00229159,"VAN VLEET, MS US",9/17/1943,,,,,0.52,,,,,
USC00229159,"VAN VLEET, MS US",9/18/1943,,,,,0,,,,,
