STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/1/1948,,,0,0,0,81,69,
USC00083909,"HIALEAH, FL US",1/1/1948,,,0,,,81,63,74
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/2/1948,,,0.14,0,0,81,69,
USC00083909,"HIALEAH, FL US",1/2/1948,,,0,,,81,69,73
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/3/1948,,,0,0,0,72,60,
USC00083909,"HIALEAH, FL US",1/3/1948,,,0.09,,,72,60,63
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/4/1948,,,0,0,0,72,57,
USC00083909,"HIALEAH, FL US",1/4/1948,,,0,,,72,55,62
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/5/1948,,,0,0,0,66,48,
USC00083909,"HIALEAH, FL US",1/5/1948,,,0,,,66,51,55
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/6/1948,,,0,0,0,69,50,
USC00083909,"HIALEAH, FL US",1/6/1948,,,0,,,69,46,54
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/7/1948,,,0,0,0,74,51,
USC00083909,"HIALEAH, FL US",1/7/1948,,,0,,,73,47,54
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/8/1948,,,0,0,0,76,56,
USC00083909,"HIALEAH, FL US",1/8/1948,,,0,,,75,52,58
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/9/1948,,,0,0,0,79,54,
USC00083909,"HIALEAH, FL US",1/9/1948,,,0,,,78,52,59
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/10/1948,,,0,0,0,76,58,
USC00083909,"HIALEAH, FL US",1/10/1948,,,0,,,74,51,61
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/11/1948,,,1.17,0,0,71,60,
USC00083909,"HIALEAH, FL US",1/11/1948,,,0,,,71,59,64
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/12/1948,,,0.23,0,0,75,65,
USC00083909,"HIALEAH, FL US",1/12/1948,,,0.95,,,74,63,70
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/13/1948,,,1.57,0,0,78,68,
USC00083909,"HIALEAH, FL US",1/13/1948,,,0,,,77,68,72
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/14/1948,,,0,0,0,68,42,
USC00083909,"HIALEAH, FL US",1/14/1948,,,1.58,,,57,55,57
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/15/1948,,,0,0,0,52,34,
USC00083909,"HIALEAH, FL US",1/15/1948,,,0,,,52,33,35
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/16/1948,,,0,0,0,69,42,
USC00083909,"HIALEAH, FL US",1/16/1948,,,0,,,68,34,46
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/17/1948,,,0.15,0,0,75,63,
USC00083909,"HIALEAH, FL US",1/17/1948,,,0.03,,,74,45,64
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/18/1948,,,0,0,0,69,54,
USC00083909,"HIALEAH, FL US",1/18/1948,,,0.13,,,67,63,66
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/19/1948,,,0,0,0,77,53,
USC00083909,"HIALEAH, FL US",1/19/1948,,,0,,,76,52,53
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/20/1948,,,0.01,0,0,78,70,
USC00083909,"HIALEAH, FL US",1/20/1948,,,0,,,76,52,72
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/21/1948,,,0.13,0,0,79,66,
USC00083909,"HIALEAH, FL US",1/21/1948,,,0.01,,,79,69,73
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/22/1948,,,0,0,0,72,57,
USC00083909,"HIALEAH, FL US",1/22/1948,,,0.13,,,76,57,63
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/23/1948,,,0.41,0,0,73,60,
USC00083909,"HIALEAH, FL US",1/23/1948,,,0,,,75,58,64
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/24/1948,,,0,0,0,82,66,
USC00083909,"HIALEAH, FL US",1/24/1948,,,0.34,,,81,63,74
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/25/1948,,,0,0,0,83,63,
USC00083909,"HIALEAH, FL US",1/25/1948,,,0,,,86,61,65
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/26/1948,,,0,0,0,80,63,
USC00083909,"HIALEAH, FL US",1/26/1948,,,0,,,78,61,63
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/27/1948,,,0,0,0,80,67,
USC00083909,"HIALEAH, FL US",1/27/1948,,,0,,,80,61,74
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/28/1948,,,0,0,0,80,64,
USC00083909,"HIALEAH, FL US",1/28/1948,,,0,,,79,64,67
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/29/1948,,,0,0,0,81,61,
USC00083909,"HIALEAH, FL US",1/29/1948,,,0,,,82,59,66
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/30/1948,,,0.08,0,0,81,64,
USC00083909,"HIALEAH, FL US",1/30/1948,,,0.15,,,81,64,68
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",1/31/1948,,,0,0,0,83,64,
USC00083909,"HIALEAH, FL US",1/31/1948,,,0,,,,66,73
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",2/1/1948,,,0,0,0,68,50,
USC00083909,"HIALEAH, FL US",2/1/1948,,,0,,,65,51,54
USW00012839,"MIAMI INTERNATIONAL AIRPORT, FL US",2/2/1948,,,0,0,0,73,48,
