STATION,NAME,DATE,DAPR,MDPR,PRCP,SNOW,SNWD,TMAX,TMIN,TOBS
USC00358034,"STAFFORD, OR US",1896-04-01,,,0.13,1.3,13,46,40,
USC00358034,"STAFFORD, OR US",1896-04-02,,,0,0,10,,,
USC00358034,"STAFFORD, OR US",1896-04-03,,,0,0,,,,
USC00358034,"STAFFORD, OR US",1896-04-04,,,0,0,,,,
USC00358034,"STAFFORD, OR US",1896-04-05,,,0,0,,,,
USC00358034,"STAFFORD, OR US",1896-04-06,,,0,0,,,,
USC00358034,"STAFFORD, OR US",1896-04-07,,,0.5,0,,62,44,
USC00358034,"STAFFORD, OR US",1896-04-08,,,0.13,0,,56,37,
USC00358034,"STAFFORD, OR US",1896-04-09,,,0.5,0,,54,39,
USC00358034,"STAFFORD, OR US",1896-04-10,,,0.22,0,,47,39,
USC00358034,"STAFFORD, OR US",1896-04-11,,,0.06,0,,57,36,
USC00358034,"STAFFORD, OR US",1896-04-12,,,0.59,0,,49,41,
USC00358034,"STAFFORD, OR US",1896-04-13,,,0.94,0,,54,45,
USC00358034,"STAFFORD, OR US",1896-04-14,,,0.28,2,,51,31,
USC00358034,"STAFFORD, OR US",1896-04-15,,,0.08,0,,49,33,
USC00358034,"STAFFORD, OR US",1896-04-16,,,0.01,0,,55,33,
USC00358034,"STAFFORD, OR US",1896-04-17,,,0.02,0,,60,30,
USC00358034,"STAFFORD, OR US",1896-04-18,,,0.08,0,,56,38,
USC00358034,"STAFFORD, OR US",1896-04-19,,,0.04,0,,54,30,
USC00358034,"STAFFORD, OR US",1896-04-20,,,0,0,,60,34,
USC00358034,"STAFFORD, OR US",1896-04-21,,,0,0,,69,37,
USC00358034,"STAFFORD, OR US",1896-04-22,,,0.03,0,,67,42,
USC00358034,"STAFFORD, OR US",1896-04-23,,,0.73,0,,46,37,
USC00358034,"STAFFORD, OR US",1896-04-24,,,0.06,0,,55,40,
USC00358034,"STAFFORD, OR US",1896-04-25,,,0.28,0,,57,41,
USC00358034,"STAFFORD, OR US",1896-04-26,,,0.22,0,,60,35,
USC00358034,"STAFFORD, OR US",1896-04-27,,,0.16,0,,53,41,
USC00358034,"STAFFORD, OR US",1896-04-28,,,0.42,0,,52,37,
USC00358034,"STAFFORD, OR US",1896-04-29,,,0.25,0,,53,39,
USC00358034,"STAFFORD, OR US",1896-04-30,,,0.04,0,,57,36,
USC00358034,"STAFFORD, OR US",1896-05-01,,,0.4,,,52,42,
USC00358034,"STAFFORD, OR US",1896-05-02,,,0.63,,,52,38,
USC00358034,"STAFFORD, OR US",1896-05-03,,,0.62,,,51,40,
USC00358034,"STAFFORD, OR US",1896-05-04,,,0.7,,,56,42,
USC00358034,"STAFFORD, OR US",1896-05-05,,,0.21,,,50,39,
USC00358034,"STAFFORD, OR US",1896-05-06,,,0.13,,,55,39,
USC00358034,"STAFFORD, OR US",1896-05-07,,,0.01,,,60,41,
USC00358034,"STAFFORD, OR US",1896-05-08,,,0.07,,,53,37,
USC00358034,"STAFFORD, OR US",1896-05-09,,,0.37,,,55,38,
USC00358034,"STAFFORD, OR US",1896-05-10,,,0.05,,,56,37,
USC00358034,"STAFFORD, OR US",1896-05-11,,,0.68,,,58,39,
USC00358034,"STAFFORD, OR US",1896-05-12,,,0.05,,,59,39,
USC00358034,"STAFFORD, OR US",1896-05-13,,,0.06,,,60,35,
USC00358034,"STAFFORD, OR US",1896-05-14,,,0.04,,,62,37,
USC00358034,"STAFFORD, OR US",1896-05-15,,,0.08,,,56,37,
USC00358034,"STAFFORD, OR US",1896-05-16,,,0.33,,,53,36,
USC00358034,"STAFFORD, OR US",1896-05-17,,,0.41,,,50,38,
USC00358034,"STAFFORD, OR US",1896-05-18,,,0.03,,,58,36,
USC00358034,"STAFFORD, OR US",1896-05-19,,,0.03,,,65,45,
USC00358034,"STAFFORD, OR US",1896-05-20,,,0.02,,,61,38,
USC00358034,"STAFFORD, OR US",1896-05-21,,,0,,,71,44,
USC00358034,"STAFFORD, OR US",1896-05-22,,,0.01,,,77,52,
USC00358034,"STAFFORD, OR US",1896-05-23,,,0.16,,,67,45,
USC00358034,"STAFFORD, OR US",1896-05-24,,,0.03,,,68,37,
USC00358034,"STAFFORD, OR US",1896-05-25,,,0,,,65,46,
USC00358034,"STAFFORD, OR US",1896-05-26,,,0,,,72,51,
USC00358034,"STAFFORD, OR US",1896-05-27,,,0,,,75,44,
USC00358034,"STAFFORD, OR US",1896-05-28,,,0,,,80,48,
USC00358034,"STAFFORD, OR US",1896-05-29,,,0,,,79,47,
USC00358034,"STAFFORD, OR US",1896-05-30,,,0,,,80,42,
USC00358034,"STAFFORD, OR US",1896-05-31,,,0,,,70,38,
USC00358034,"STAFFORD, OR US",1896-06-01,,,0,,,70,39,
USC00358034,"STAFFORD, OR US",1896-06-02,,,0,,,67,36,
USC00358034,"STAFFORD, OR US",1896-06-03,,,0,,,68,47,
USC00358034,"STAFFORD, OR US",1896-06-04,,,0.16,,,67,50,
USC00358034,"STAFFORD, OR US",1896-06-05,,,0.19,,,68,47,
USC00358034,"STAFFORD, OR US",1896-06-06,,,0.09,,,62,45,
USC00358034,"STAFFORD, OR US",1896-06-07,,,0.24,,,67,49,
USC00358034,"STAFFORD, OR US",1896-06-08,,,0.3,,,60,43,
USC00358034,"STAFFORD, OR US",1896-06-09,,,0.02,,,65,44,
USC00358034,"STAFFORD, OR US",1896-06-10,,,0.26,,,61,38,
USC00358034,"STAFFORD, OR US",1896-06-11,,,0,,,69,40,
USC00358034,"STAFFORD, OR US",1896-06-12,,,0,,,80,47,
USC00358034,"STAFFORD, OR US",1896-06-13,,,0,,,69,36,
USC00358034,"STAFFORD, OR US",1896-06-14,,,0,,,74,37,
USC00358034,"STAFFORD, OR US",1896-06-15,,,0,,,75,42,
USC00358034,"STAFFORD, OR US",1896-06-16,,,0,,,76,42,
USC00358034,"STAFFORD, OR US",1896-06-17,,,0,,,81,45,
USC00358034,"STAFFORD, OR US",1896-06-18,,,0,,,75,50,
USC00358034,"STAFFORD, OR US",1896-06-19,,,0,,,73,51,
USC00358034,"STAFFORD, OR US",1896-06-20,,,0,,,74,45,
USC00358034,"STAFFORD, OR US",1896-06-21,,,0,,,80,47,
USC00358034,"STAFFORD, OR US",1896-06-22,,,0,,,83,43,
USC00358034,"STAFFORD, OR US",1896-06-23,,,0,,,78,44,
USC00358034,"STAFFORD, OR US",1896-06-24,,,0,,,77,40,
USC00358034,"STAFFORD, OR US",1896-06-25,,,0,,,83,50,
USC00358034,"STAFFORD, OR US",1896-06-26,,,0,,,92,56,
USC00358034,"STAFFORD, OR US",1896-06-27,,,0,,,93,49,
USC00358034,"STAFFORD, OR US",1896-06-28,,,0,,,86,54,
USC00358034,"STAFFORD, OR US",1896-06-29,,,0,,,77,48,
USC00358034,"STAFFORD, OR US",1896-06-30,,,0,,,82,47,
USC00358034,"STAFFORD, OR US",1896-07-01,,,0,,,79,48,
USC00358034,"STAFFORD, OR US",1896-07-02,,,0,,,81,45,
